特殊宿主ID,预测置信度,类别0概率,类别1概率,类别2概率
GCA_000447845,0.8871070146560669,1.778247751228193e-42,0.11289297044277191,0.8871070146560669
GCA_000516275,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_001591705,0.8871060609817505,1.778247751228193e-42,0.11289392411708832,0.8871060609817505
GCA_000232385,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_001983285,0.9427405595779419,2.0038568039844884e-43,0.057259418070316315,0.9427405595779419
GCA_000600595,0.7078620791435242,1.2345439470701638e-42,0.2921379506587982,0.7078620791435242
GCA_000581775,0.7078620791435242,1.2345439470701638e-42,0.2921379506587982,0.7078620791435242
GCA_000682195,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_001547715,0.9427408576011658,2.0038568039844884e-43,0.05725910887122154,0.9427408576011658
GCA_000631565,0.9427405595779419,2.0038568039844884e-43,0.057259418070316315,0.9427405595779419
GCA_000369165,0.7078608274459839,1.2345439470701638e-42,0.2921391427516937,0.7078608274459839
GCA_000588135,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_002441825,0.8871058821678162,1.778247751228193e-42,0.11289412528276443,0.8871058821678162
GCA_000229105,0.9427405595779419,2.0038568039844884e-43,0.057259418070316315,0.9427405595779419
GCA_000591875,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_000368725,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_000339815,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_002077975,0.8871064186096191,1.778247751228193e-42,0.11289355158805847,0.8871064186096191
GCA_000016385,0.6991817951202393,2.382207389352189e-44,0.30081820487976074,0.6991817951202393
GCA_000232665,0.9427407383918762,2.0038568039844884e-43,0.0572592131793499,0.9427407383918762
GCA_000009425,0.8871058821678162,1.778247751228193e-42,0.11289412528276443,0.8871058821678162
GCA_000300795,0.8871060609817505,1.778247751228193e-42,0.11289392411708832,0.8871060609817505
GCA_000447885,0.8871065974235535,1.778247751228193e-42,0.11289335787296295,0.8871065974235535
GCA_000572065,0.9427404403686523,2.0038568039844884e-43,0.05725951865315437,0.9427404403686523
GCA_000447905,0.8871058821678162,1.778247751228193e-42,0.11289412528276443,0.8871058821678162
GCA_002148215,0.8871058821678162,1.778247751228193e-42,0.11289412528276443,0.8871058821678162
GCA_000786755,0.8871065974235535,1.778247751228193e-42,0.11289335787296295,0.8871065974235535
GCA_000335495,0.9427407383918762,2.0038568039844884e-43,0.0572592131793499,0.9427407383918762
GCA_000284735,0.8871060609817505,1.778247751228193e-42,0.11289392411708832,0.8871060609817505
GCA_000344575,0.8871060609817505,1.778247751228193e-42,0.11289392411708832,0.8871060609817505
GCA_000588775,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_000521325,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000515795,0.7078613042831421,1.2345439470701638e-42,0.2921387553215027,0.7078613042831421
GCA_000600935,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_000584555,0.7078616619110107,1.2345439470701638e-42,0.29213833808898926,0.7078616619110107
GCA_000252225,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000411755,0.9427405595779419,2.0038568039844884e-43,0.057259418070316315,0.9427405595779419
GCA_000495355,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000203755,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000232505,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000232845,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000171695,0.9427408576011658,2.0038568039844884e-43,0.05725910887122154,0.9427408576011658
GCA_000494795,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000233285,0.9427406191825867,2.0038568039844884e-43,0.05725931376218796,0.9427406191825867
GCA_000232685,0.9427407383918762,2.0038568039844884e-43,0.0572592131793499,0.9427407383918762
GCA_000011125,0.8999660611152649,9.80908925027372e-45,0.10003390908241272,0.8999660611152649
